authorId,authorName,affiliatedOrg
49247239,M. P. K. Reddy,6
47232798,R. Upadhyay,6
145392527,Xiaowen Dong,6
2074116890,Telmo Matos,6
40451574,Hannah R Thomas,6
2969789,C. Carson,6
11604561,K. Anderson,6
34265663,E. Pucci,6
49696663,S. Badsha,6
2057469329,Chanho Yoon,6
1704861,H. Lipmaa,6
49528584,Hao Wang,6
2430095,Longbin Lai,6
2072927082,Chao Tian,6
2070302205,Jian Weng,7
1409267833,Ayad Al-dujaili,7
2115815,S. E. Bibri,7
1483726395,Sanaullah Manzoor,7
1485435660,Christina R. Daulton,7
2144443688,Yun Liu,7
39011068,Joseph M. Paggi,7
104377747,C. Bennett,7
7350178,T. Urrutia,7
2059118408,Mehar Sahu,7
2228824,Andrei A. Rusu,7
50762194,Jiayin Chen,7
2061421223,David Pinto,7
151178570,Qingxia Yang,7
13966665,Vathsala Patil,7
1789372,N. Sundaram,7
2125469004,Yang Cao,7
1933508,J. McClean,7
1740213,Pedro M. Domingos,7
2244164,C. Trapnell,7
2431330,J. Shendure,7
3188030,Claude Barthels,7
2329819,A. Kildishev,7
10995925,D. Dimitrov,7
38608914,G. T. Reddy,7
987655523,Jian Sun,7
32657901,Samuel Grossman,7
49941354,A. Swanson,7
2267807,P. Dawyndt,7
49730050,Saurabh Saxena,7
145520115,M. Belkin,7
87122962,Ben Green,7
49640041,Jianying Zhou,8
36838735,B. Ganesh,8
30757622,Sayantan Khanra,8
15761043,Ayoung Yoon,8
2118446738,Jian Chen,8
2153527172,He Zhang,8
143702015,R. Bacon,8
2442306,Yongpan Liu,8
3451005,Junqiao Qiu,8
26686252,Nur Hazimah Mohamed Nor,8
2115285735,Sanghyun Park,8
2083698,M. Vodas,8
50543766,Eamonn J. Keogh,8
51352814,L. Guibas,8
46606113,Jingli Ren,8
2115626527,Yawei Wang,8
35207612,Alberto Ferraris,8
147015068,Jeanelle Ackerman,8
51199953,Riccardo Rialti,8
50055322,Ling Huang,8
143630962,Fabiana M. Duarte,8
5952794,T. Kalincik,8
143651788,Xiuzhen Cheng,8
1801519,D. Wong,9
2105789236,Gary King,9
39695518,Li Liu,9
145467929,Bongki Moon,9
2113674994,W. Liang,9
144757691,S. Erfani,9
3691987,Jiwen Xin,9
80193067,Jun Lyu,9
50076239,Edin A. Muharemagic,9
2111682898,Donglong He,9
4274900,O. Alter,9
2271668292,Xindong Wu,9
2215941,F. Nasaruddin,9
144779196,Yufei Tao,9
51022218,Stella Y. Sun,9
1712222777,Adarsh Kumar,9
2987811,M. Swain,9
3308719,Robert Gerstenberger,9
11371884,Christian Etmann,9
2386640,Ioannis Kavakiotis,9
1695784,U. Fayyad,9
2966240,Jianren Wang,9
145910503,Daniela T. Marquez,9
2399615,B. Lajoie,9
2075347074,Guiyun Tian,9
2144438851,Xiang Li,9
1396184193,Andy Chu,9
1851304,Matteo Chinazzi,9
34734228,S. Jamuar,9
5190887,J. Karnes,9
1678835,Xuanhua Shi,10
1736389,M. Dumontier,10
9035741,Simone Romano,10
144110274,K. Zhang,10
2028211867,Sofía Maiolo,10
2068310530,Ivan Manuel Gunawan,10
3181960,Junfei Qiu,10
1388063032,Kevin Innerebner,10
48965924,Stefanie N. Lindstaedt,10
153314745,Ming-Syan Chen,10
33906968,Shashank Mujumdar,10
153628046,L. Perrier,10
40774751,Dylanne Dearborn,10
143999313,J. Mullikin,10
1803054,Shujie Liu,10
1694621,Michael I. Jordan,10
2288719392,PhD Yuan Luo,10
143622465,Christopher Morris,10
1701715,C. Sohler,10
2181966147,Abhishek V A,10
1482559324,H. Rossman,10
1637489841,Andrea Doricchi,10
2145492298,Yongluan Zhou,10
3368455,R. Brotman,10
152998476,Yixuan Li,10
2144841096,Yu H. Chen,10
2247069462,W. N. Price,10
1722252,Jianhua Yao,10
103731383,M. Hasan,10
2046743677,Alan M Song,10
47790903,Benjamin Jakimow,10
1942212,D. Kateris,10
87429533,A. Cerdeira,10
2594647,A. Voulodimos,10
144025411,Hong Luo,10
143819011,Thomas H. Morris,10
144539424,N. Chawla,10
15597895,Hamed Alqahtani,10
2110209058,Yirong Xu,10
1683380,Osmar R Zaiane,10
2336789,Ruinian Li,10
2183294,W. Woo,10
2115611725,Xuan Luo,11
31484613,A. Saeed,11
37833666,Cédric Renggli,11
2336606,Jingbo Zhou,11
46746040,Shuang Song,11
143768623,Qian Li,11
1722388,Rada Y. Chirkova,11
145344693,Pierre-Alain Muller,11
4883942,L. Wisotzki,11
2984224,Qinglei Kong,11
103073143,Rongxing Lu,11
2327630,S. Childe,11
88566094,Jiquan Chen,11
2287311973,Ewan Masters,11
145750440,J. Polman,11
2083651327,Florijan Klezin,11
49765188,J. Ledikwe,11
51056532,Zhangyin Feng,11
1782525,S. Subrahmanya,11
1414200544,Ezzatul Akmal Kamaru-Zaman,11
1691108,Donald Kossmann,11
2118729790,David T. Jones,11
48902343,Zhiqiang Wei,11
145555536,Rinkle Rani,11
987655265,Hui Li,11
41216883,Federico Errica,11
50706692,Le Lu,11
14140001,Amir Barati Farimani,11
3291146,Shantao Li,11
95799904,M. Jung,11
1741555366,Xuewei Wang,11
35436614,Manreet Bhullar,11
2803194,D. Polychronopoulos,11
2066559728,Stefano Tessaro,11
3420596,I. Huetter,11
2114871975,Peng Zhao,12
144925807,Xiaofei Liao,12
49934155,D. Broadhurst,12
3304188,B. Funt,12
40950692,Matthew R. Dillon,12
1971458,Kaixi Hou,12
1788703,Guoru Ding,12
2004524780,Youzhi Luo,12
143619142,O. Kondrashova,12
51194821,Meltem Celikel,12
50846470,Renzhe Yu,12
1970498,Danica Damljanovic,12
144362899,Martin Scholz,12
2095762,M. Zitnik,12
1810077,Nils M. Kriege,12
1614034792,Yang Liu,12
2115011449,Kun Zhao,12
32697055,Randolph Lopez,12
145539000,J. G. Oliveira,12
2188247966,Germàn Lanzavecchia,12
1711832,Sergio Ilarri,12
3977801,Ningyi Xu,12
4289186,C. Enzenbach,12
